time,open,high,low,close,OB long,OB Short,FVG Long,FVG Short
2026-03-02T16:55:00+08:00,1.17236,1.17238,1.17212,1.17226,0,0,0,0
2026-03-02T17:00:00+08:00,1.17224,1.17315,1.17211,1.17308,0,0,0,0
2026-03-02T17:05:00+08:00,1.17309,1.17375,1.17306,1.17344,0,0,0,0
2026-03-02T17:10:00+08:00,1.17347,1.17399,1.17346,1.17399,0,0,0,0
2026-03-02T17:15:00+08:00,1.17405,1.17437,1.17371,1.17414,0,0,0,0
2026-03-02T17:20:00+08:00,1.17415,1.17419,1.17364,1.17364,0,0,0,0
2026-03-02T17:25:00+08:00,1.17366,1.1739,1.17332,1.17372,0,0,0,0
2026-03-02T17:30:00+08:00,1.1737,1.17425,1.17365,1.17394,0,0,0,0
2026-03-02T17:35:00+08:00,1.17395,1.17413,1.17369,1.17372,0,0,0,0
2026-03-02T17:40:00+08:00,1.17373,1.17394,1.17339,1.1739,0,0,0,0
2026-03-02T17:45:00+08:00,1.17388,1.17397,1.1735,1.17388,0,0,0,0
2026-03-02T17:50:00+08:00,1.17389,1.17395,1.17313,1.17327,0,0,0,0
2026-03-02T17:55:00+08:00,1.17328,1.17355,1.17322,1.1733,0,0,0,0
2026-03-02T18:00:00+08:00,1.17329,1.17398,1.17329,1.17369,0,0,0,0
2026-03-02T18:05:00+08:00,1.17371,1.17373,1.17329,1.17356,0,0,0,0
2026-03-02T18:10:00+08:00,1.17357,1.17373,1.17329,1.17352,0,0,0,0
2026-03-02T18:15:00+08:00,1.17351,1.17439,1.17346,1.17433,0,0,0,0
2026-03-02T18:20:00+08:00,1.17434,1.17473,1.17426,1.17456,0,0,0,0
2026-03-02T18:25:00+08:00,1.17455,1.17468,1.17439,1.17457,0,0,0,0
2026-03-02T18:30:00+08:00,1.17455,1.17469,1.17436,1.17439,0,0,0,0
2026-03-02T18:35:00+08:00,1.17438,1.17455,1.174,1.17433,0,0,0,0
2026-03-02T18:40:00+08:00,1.17431,1.17459,1.17415,1.17454,0,0,0,0
2026-03-02T18:45:00+08:00,1.17455,1.17462,1.17393,1.17403,0,0,0,0
2026-03-02T18:50:00+08:00,1.17401,1.17401,1.17361,1.17374,0,0,0,0
2026-03-02T18:55:00+08:00,1.1738,1.17389,1.1735,1.17387,1,0,0,0
2026-03-02T19:00:00+08:00,1.17389,1.17398,1.17343,1.17354,0,0,0,0
2026-03-02T19:05:00+08:00,1.17357,1.17373,1.17321,1.17345,0,0,0,0
2026-03-02T19:10:00+08:00,1.17343,1.17344,1.17321,1.17339,0,0,0,0
2026-03-02T19:15:00+08:00,1.17341,1.17344,1.17287,1.17299,0,0,0,0
2026-03-02T19:20:00+08:00,1.173,1.17302,1.17273,1.173,0,0,0,0
2026-03-02T19:25:00+08:00,1.17299,1.17334,1.17272,1.17274,0,0,0,0
2026-03-02T19:30:00+08:00,1.17273,1.17304,1.17263,1.17303,0,0,0,0
2026-03-02T19:35:00+08:00,1.17302,1.17345,1.17298,1.17337,0,0,0,0
2026-03-02T19:40:00+08:00,1.17338,1.17344,1.17317,1.17339,0,0,0,0
2026-03-02T19:45:00+08:00,1.17338,1.17412,1.17326,1.17403,0,0,0,0
2026-03-02T19:50:00+08:00,1.17402,1.17406,1.17355,1.17355,0,0,0,0
2026-03-02T19:55:00+08:00,1.17356,1.17365,1.1732,1.17332,0,0,0,0
2026-03-02T20:00:00+08:00,1.17334,1.17339,1.17301,1.17329,0,0,0,0
2026-03-02T20:05:00+08:00,1.17328,1.17334,1.17266,1.1727,0,0,0,0
2026-03-02T20:10:00+08:00,1.17269,1.17284,1.17248,1.17254,0,0,0,0
2026-03-02T20:15:00+08:00,1.17252,1.17265,1.17191,1.17195,0,0,0,0
2026-03-02T20:20:00+08:00,1.17192,1.17225,1.17177,1.17207,0,0,0,0
2026-03-02T20:25:00+08:00,1.17208,1.17237,1.17192,1.17197,0,0,0,0
2026-03-02T20:30:00+08:00,1.17196,1.17204,1.17177,1.17197,0,0,0,0
2026-03-02T20:35:00+08:00,1.17201,1.17216,1.17163,1.17198,0,0,0,0
2026-03-02T20:40:00+08:00,1.172,1.17209,1.1713,1.17139,0,0,0,0
2026-03-02T20:45:00+08:00,1.17138,1.17147,1.17049,1.17086,0,0,0,0
2026-03-02T20:50:00+08:00,1.17085,1.17091,1.1706,1.17063,0,0,0,0
2026-03-02T20:55:00+08:00,1.17058,1.17058,1.17021,1.17039,0,0,0,0
2026-03-02T21:00:00+08:00,1.17041,1.17101,1.17033,1.17035,0,0,0,0
2026-03-02T21:05:00+08:00,1.17039,1.17042,1.16968,1.16976,0,0,0,0
2026-03-02T21:10:00+08:00,1.16978,1.17067,1.16971,1.17057,1,0,0,0
2026-03-02T21:15:00+08:00,1.17058,1.17121,1.17053,1.17112,0,0,0,0
2026-03-02T21:20:00+08:00,1.1711,1.17135,1.17085,1.17125,0,0,0,0
2026-03-02T21:25:00+08:00,1.17118,1.17185,1.17117,1.17158,0,0,0,0
2026-03-02T21:30:00+08:00,1.17157,1.17161,1.17086,1.17092,0,0,0,0
2026-03-02T21:35:00+08:00,1.17094,1.17104,1.17019,1.1704,0,0,0,0
2026-03-02T21:40:00+08:00,1.17041,1.17066,1.17006,1.17025,0,0,0,0
2026-03-02T21:45:00+08:00,1.17024,1.17089,1.17019,1.17042,0,0,0,0
2026-03-02T21:50:00+08:00,1.17044,1.17048,1.16993,1.16999,0,0,0,0
2026-03-02T21:55:00+08:00,1.17,1.17008,1.16953,1.16984,0,0,0,0
2026-03-02T22:00:00+08:00,1.16984,1.16997,1.16951,1.16972,0,0,0,0
2026-03-02T22:05:00+08:00,1.16971,1.17114,1.16971,1.17085,0,0,0,0
2026-03-02T22:10:00+08:00,1.17079,1.1708,1.17029,1.17033,0,0,0,0
2026-03-02T22:15:00+08:00,1.17034,1.17076,1.16985,1.17072,1,0,0,0
2026-03-02T22:20:00+08:00,1.17071,1.171,1.17022,1.17049,0,0,0,0
2026-03-02T22:25:00+08:00,1.17046,1.17071,1.1703,1.17047,0,0,0,0
2026-03-02T22:30:00+08:00,1.17045,1.17157,1.17022,1.17153,0,0,0,0
2026-03-02T22:35:00+08:00,1.17153,1.17194,1.17141,1.17148,0,0,0,0
2026-03-02T22:40:00+08:00,1.17149,1.17196,1.17141,1.17174,0,0,0,0
2026-03-02T22:45:00+08:00,1.17174,1.17196,1.17152,1.17188,0,0,0,0
2026-03-02T22:50:00+08:00,1.17187,1.17238,1.17169,1.17198,0,0,0,0
2026-03-02T22:55:00+08:00,1.17198,1.17221,1.1714,1.17175,0,0,0,0
2026-03-02T23:00:00+08:00,1.17126,1.17161,1.17102,1.17161,0,0,0,0
2026-03-02T23:05:00+08:00,1.17162,1.17163,1.17083,1.17094,0,-1,0,0
2026-03-02T23:10:00+08:00,1.17095,1.17119,1.17062,1.17064,0,0,0,0
2026-03-02T23:15:00+08:00,1.17062,1.17071,1.17031,1.17041,0,0,0,0
2026-03-02T23:20:00+08:00,1.17041,1.17057,1.1701,1.17039,0,0,0,0
2026-03-02T23:25:00+08:00,1.17038,1.17063,1.17019,1.17022,0,0,0,0
