time,open,high,low,close,Long,Short
2026-02-26T09:40:00+08:00,1.18251,1.18278,1.18251,1.18277,0,0
2026-02-26T09:45:00+08:00,1.18274,1.18291,1.18261,1.18273,0,0
2026-02-26T09:50:00+08:00,1.1827,1.18281,1.18266,1.18273,0,0
2026-02-26T09:55:00+08:00,1.18271,1.18277,1.1826,1.18272,0,0
2026-02-26T10:00:00+08:00,1.18273,1.1829,1.18249,1.18262,1,0
2026-02-26T10:05:00+08:00,1.18264,1.18285,1.1826,1.18265,0,0
2026-02-26T10:10:00+08:00,1.18266,1.1828,1.18252,1.18261,0,0
2026-02-26T10:15:00+08:00,1.18263,1.18271,1.18248,1.18251,0,0
2026-02-26T10:20:00+08:00,1.18247,1.18252,1.1823,1.18235,0,0
2026-02-26T10:25:00+08:00,1.18237,1.18239,1.18202,1.18204,0,0
2026-02-26T10:30:00+08:00,1.18203,1.18203,1.18183,1.18186,0,0
2026-02-26T10:35:00+08:00,1.18187,1.182,1.18171,1.18172,0,0
2026-02-26T10:40:00+08:00,1.18174,1.18175,1.18134,1.18146,0,0
2026-02-26T10:45:00+08:00,1.18143,1.18171,1.18139,1.18168,0,0
2026-02-26T10:50:00+08:00,1.18167,1.18177,1.18156,1.18164,0,0
2026-02-26T10:55:00+08:00,1.18163,1.18178,1.18161,1.18174,0,1
2026-02-26T11:00:00+08:00,1.18175,1.18196,1.18173,1.18195,0,0
2026-02-26T11:05:00+08:00,1.18194,1.18197,1.18177,1.18182,0,0
2026-02-26T11:10:00+08:00,1.18184,1.182,1.18179,1.18198,0,0
2026-02-26T11:15:00+08:00,1.18201,1.18223,1.18198,1.18212,0,0
2026-02-26T11:20:00+08:00,1.18214,1.18215,1.18201,1.18203,0,0
2026-02-26T11:25:00+08:00,1.18202,1.18218,1.18187,1.18189,0,0
2026-02-26T11:30:00+08:00,1.18189,1.18214,1.18189,1.18212,0,0
2026-02-26T11:35:00+08:00,1.1821,1.18215,1.18176,1.18184,0,0
2026-02-26T11:40:00+08:00,1.18183,1.18185,1.18177,1.18178,0,0
2026-02-26T11:45:00+08:00,1.18177,1.18179,1.18165,1.18167,0,0
2026-02-26T11:50:00+08:00,1.18166,1.18175,1.18158,1.18167,0,0
2026-02-26T11:55:00+08:00,1.18164,1.18185,1.1816,1.18171,0,0
2026-02-26T12:00:00+08:00,1.18169,1.18176,1.18166,1.18175,0,0
2026-02-26T12:05:00+08:00,1.18173,1.18174,1.18158,1.18164,0,0
2026-02-26T12:10:00+08:00,1.18163,1.18165,1.18135,1.18142,0,0
2026-02-26T12:15:00+08:00,1.18141,1.1815,1.18131,1.18134,0,0
2026-02-26T12:20:00+08:00,1.18135,1.18156,1.18132,1.18154,0,0
2026-02-26T12:25:00+08:00,1.18154,1.18159,1.18132,1.18133,0,1
2026-02-26T12:30:00+08:00,1.18134,1.18166,1.18125,1.18164,0,0
2026-02-26T12:35:00+08:00,1.18164,1.18166,1.18154,1.18157,0,0
2026-02-26T12:40:00+08:00,1.18155,1.1817,1.18154,1.18165,0,0
2026-02-26T12:45:00+08:00,1.18166,1.18173,1.18146,1.18166,0,0
2026-02-26T12:50:00+08:00,1.18165,1.18171,1.18152,1.18164,0,0
2026-02-26T12:55:00+08:00,1.18163,1.18187,1.18145,1.18184,0,0
2026-02-26T13:00:00+08:00,1.18183,1.18191,1.18169,1.18177,0,0
2026-02-26T13:05:00+08:00,1.18178,1.18194,1.18165,1.18188,0,0
2026-02-26T13:10:00+08:00,1.18191,1.18194,1.18177,1.1818,0,0
2026-02-26T13:15:00+08:00,1.18186,1.18214,1.18185,1.18198,0,0
2026-02-26T13:20:00+08:00,1.18199,1.18205,1.18178,1.18204,0,0
2026-02-26T13:25:00+08:00,1.18203,1.18204,1.1819,1.18197,0,0
2026-02-26T13:30:00+08:00,1.18198,1.18201,1.18181,1.18192,0,0
2026-02-26T13:35:00+08:00,1.18191,1.18192,1.18159,1.18183,0,0
2026-02-26T13:40:00+08:00,1.18184,1.1819,1.1818,1.18188,0,0
2026-02-26T13:45:00+08:00,1.18191,1.182,1.18182,1.18198,0,0
2026-02-26T13:50:00+08:00,1.18195,1.18228,1.18188,1.18195,0,0
2026-02-26T13:55:00+08:00,1.18196,1.18218,1.18183,1.18197,0,0
2026-02-26T14:00:00+08:00,1.18196,1.18214,1.18173,1.18178,0,0
2026-02-26T14:05:00+08:00,1.18179,1.18203,1.18177,1.18193,0,0
2026-02-26T14:10:00+08:00,1.18194,1.1821,1.1819,1.18207,0,0
2026-02-26T14:15:00+08:00,1.18206,1.18213,1.18161,1.18169,0,0
2026-02-26T14:20:00+08:00,1.18167,1.18188,1.18156,1.1817,0,0
2026-02-26T14:25:00+08:00,1.18168,1.18169,1.18148,1.18155,0,0
2026-02-26T14:30:00+08:00,1.18154,1.18185,1.18152,1.18178,0,0
2026-02-26T14:35:00+08:00,1.18177,1.18194,1.1817,1.18189,0,0
2026-02-26T14:40:00+08:00,1.18191,1.18205,1.18186,1.18202,0,0
2026-02-26T14:45:00+08:00,1.18201,1.18215,1.18188,1.18208,0,0
2026-02-26T14:50:00+08:00,1.18207,1.18223,1.1819,1.18191,0,0
2026-02-26T14:55:00+08:00,1.1819,1.18206,1.18185,1.18188,0,0
2026-02-26T15:00:00+08:00,1.18182,1.18183,1.18128,1.18133,0,0
2026-02-26T15:05:00+08:00,1.18132,1.18132,1.18087,1.18104,0,0
2026-02-26T15:10:00+08:00,1.18105,1.18129,1.18096,1.18128,0,0
2026-02-26T15:15:00+08:00,1.18127,1.18172,1.18112,1.18162,0,0
2026-02-26T15:20:00+08:00,1.18156,1.18163,1.18123,1.18124,0,0
2026-02-26T15:25:00+08:00,1.18123,1.18143,1.1811,1.18124,0,0
2026-02-26T15:30:00+08:00,1.18125,1.18144,1.18119,1.18138,0,0
2026-02-26T15:35:00+08:00,1.18137,1.18142,1.18115,1.18118,0,0
2026-02-26T15:40:00+08:00,1.18117,1.18145,1.18114,1.18136,0,0
2026-02-26T15:45:00+08:00,1.18134,1.18146,1.18116,1.18133,0,0
2026-02-26T15:50:00+08:00,1.18134,1.18147,1.18132,1.18147,0,0
