time,open,high,low,close,Ultra High Volume,Very High Volume,High Volume,Trend MA,High Taken,Low Taken,High Taken (no text),Low Taken (no text),#1,#2,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Swing High,Swing Low,Turtle Soup Buy Auto,Turtle Soup Sell Auto,Turtle Soup Buy Huge,Turtle Soup Sell Huge,Turtle Soup Buy Large,Turtle Soup Sell Large,Turtle Soup Buy Normal,Turtle Soup Sell Normal,Turtle Soup Buy Small,Turtle Soup Sell Small,Turtle Soup Buy Tiny,Turtle Soup Sell Tiny,Plot,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2026-01-05T20:05:00+08:00,4419.33,4419.99,4416.62,4418.94,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3283.32,3283.64,3281.44,3282.81,3,2,1,0
2026-01-05T20:10:00+08:00,4418.95,4420.79,4417.08,4417.83,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3282.81,3284.27,3280.97,3281.52,3,2,1,0
2026-01-05T20:15:00+08:00,4417.8,4418.53,4416.74,4418.08,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3281.33,3281.88,3279.83,3280.39,3,2,1,0
2026-01-05T20:20:00+08:00,4418.14,4418.46,4413.65,4414.46,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3280.43,3280.85,3277.3,3277.55,3,2,1,0
2026-01-05T20:25:00+08:00,4414.45,4416.92,4414.06,4415.8,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3277.54,3279.58,3277.39,3278.2,3,2,1,0
2026-01-05T20:30:00+08:00,4415.82,4417.29,4414,4415.46,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3278.19,3279.51,3276.84,3277.06,3,2,1,0
2026-01-05T20:35:00+08:00,4415.46,4416.12,4413.46,4415.18,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3277.1,3278.19,3275.62,3277.23,3,2,1,0
2026-01-05T20:40:00+08:00,4415.22,4415.5,4406.37,4410.01,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3277.22,3277.48,3272.43,3274.92,3,2,1,0
2026-01-05T20:45:00+08:00,4409.94,4412.48,4406.7,4407.39,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3275.01,3276.43,3272.79,3273.19,3,2,1,0
2026-01-05T20:50:00+08:00,4407.4,4411.89,4405.42,4410.7,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3273.08,3278.81,3272,3277.7,3,2,1,0
2026-01-05T20:55:00+08:00,4410.67,4411.22,4408.01,4409.9,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3277.65,3278.11,3275.69,3276.96,3,2,1,0
2026-01-05T21:00:00+08:00,4409.76,4416.21,4407.78,4415.43,,,4403.52809617288,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3277.06,3283.41,3275.58,3282.96,3,2,1,0
