time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2026-03-05T06:15:00+08:00,1.16283,1.16319,1.1628,1.16313,,1.16319,1.1628,1.16313
2026-03-05T06:20:00+08:00,1.1631,1.16317,1.16307,1.16308,,1.16317,1.16307,1.16308
2026-03-05T06:25:00+08:00,1.16307,1.16329,1.16306,1.16326,,1.16329,1.16306,1.16326
2026-03-05T06:30:00+08:00,1.16327,1.16332,1.16325,1.16328,,1.16332,1.16325,1.16328
2026-03-05T06:35:00+08:00,1.1633,1.16333,1.16329,1.16332,,1.16333,1.16329,1.16332
2026-03-05T06:40:00+08:00,1.16333,1.16334,1.16327,1.16327,,1.16334,1.16327,1.16327
2026-03-05T06:45:00+08:00,1.16326,1.16328,1.16325,1.16326,,1.16328,1.16325,1.16326
2026-03-05T06:50:00+08:00,1.16326,1.16326,1.16325,1.16326,,1.16326,1.16325,1.16326
2026-03-05T06:55:00+08:00,1.16328,1.16338,1.16326,1.16334,,1.16338,1.16326,1.16334
2026-03-05T07:00:00+08:00,1.16342,1.16389,1.16341,1.16373,,1.16389,1.16341,1.16373
2026-03-05T07:05:00+08:00,1.16373,1.16377,1.1636,1.16375,,1.16377,1.1636,1.16375
2026-03-05T07:10:00+08:00,1.16376,1.16376,1.16345,1.16356,,1.16376,1.16345,1.16356
2026-03-05T07:15:00+08:00,1.16354,1.16363,1.16352,1.16358,,1.16363,1.16352,1.16358
2026-03-05T07:20:00+08:00,1.16357,1.16361,1.16352,1.16357,,1.16361,1.16352,1.16357
2026-03-05T07:25:00+08:00,1.16358,1.1637,1.16358,1.16365,,1.1637,1.16358,1.16365
2026-03-05T07:30:00+08:00,1.16366,1.1637,1.16349,1.16351,,1.1637,1.16349,1.16351
2026-03-05T07:35:00+08:00,1.16351,1.16352,1.16339,1.16342,,1.16352,1.16339,1.16342
2026-03-05T07:40:00+08:00,1.16343,1.16355,1.16337,1.16353,,1.16355,1.16337,1.16353
2026-03-05T07:45:00+08:00,1.16352,1.16363,1.16344,1.16356,,1.16363,1.16344,1.16356
2026-03-05T07:50:00+08:00,1.16357,1.16358,1.1634,1.1635,,1.16358,1.1634,1.1635
2026-03-05T07:55:00+08:00,1.16351,1.16359,1.16344,1.16349,,1.16359,1.16344,1.16349
2026-03-05T08:00:00+08:00,1.16347,1.16352,1.1632,1.16347,,1.16352,1.1632,1.16347
2026-03-05T08:05:00+08:00,1.16346,1.16367,1.16344,1.16366,,1.16367,1.16344,1.16366
2026-03-05T08:10:00+08:00,1.16367,1.16377,1.16365,1.16375,,1.16377,1.16365,1.16375
2026-03-05T08:15:00+08:00,1.16372,1.16415,1.16368,1.16413,,1.16415,1.16368,1.16413
